score,tier,title,company,location,salary,posted,source,url,reasons,warnings
95,🟢 STRONG FIT,Senior Software Development Engineer in Test (SDET) - Ecommerce - LATAM,Truelogic,LATAM,,2026-07-12,Jobicy,https://jobicy.com/jobs/149180-senior-software-development-engineer-in-test-sdet-ecommerce-latam,"Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Skills: Cypress, Playwright, Appium, JavaScript | Growth-stage company signals",Salary not listed | Post date unknown
92,🟢 STRONG FIT,"Lead SDET (Software Engineering Manager, Test Automation Lead)",Roche,"Carlsbad, CA",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/lead-sdet-software-engineering-manager-test-automation-lead-at-roche-4448145974,"Title: Lead SDET | Seniority: lead | Remote confirmed | Skills: test automation, SDET | Posted 3d ago ✓",Salary not listed
92,🟢 STRONG FIT,"Lead SDET (Software Engineering Manager, Test Automation Lead)",Roche Diagnostics France,"Carlsbad, CA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/lead-sdet-software-engineering-manager-test-automation-lead-at-roche-diagnostics-france-4447335133,"Title: Lead SDET | Seniority: lead | Remote confirmed | Skills: test automation, SDET | Posted 1d ago ✓",Salary not listed
90,🟢 STRONG FIT,Software Development Engineer in Test,Sporty Group,EMEA,,2026-07-06,Jobicy,https://jobicy.com/jobs/145584-software-development-engineer-in-test,"Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Skills: Cypress, Playwright, test automation, CI/CD",Salary not listed | Post date unknown
87,🟢 STRONG FIT,Senior SDET - GovTech Industry (Colombia),Truelogic,LATAM,,2026-07-14,Jobicy,https://jobicy.com/jobs/146269-senior-sdet-govtech-industry-colombia,"Title: Senior SDET | Seniority: senior | Remote confirmed | Skills: Playwright, CI/CD, SDET | Growth-stage company signals",Salary not listed | Post date unknown
87,🟢 STRONG FIT,"Senior SDET Lead – Playwright, Selenium & GenAI Testing",Cognizant,"Fort Mill, SC",,2026-08-02,LinkedIn,https://www.linkedin.com/jobs/view/senior-sdet-lead-%E2%80%93-playwright-selenium-genai-testing-at-cognizant-4447639623,"Title: SDET Lead | Seniority: senior | Remote confirmed | Skills: Playwright, Selenium, SDET | Posted 4d ago",Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,Rise Technical,"Derby, CT",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-rise-technical-4446673498,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 2d ago ✓,Salary not listed
85,🟢 STRONG FIT,Plant Quality Engineering Manager,Stellantis,"Sterling Heights, MI",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/plant-quality-engineering-manager-at-stellantis-4422440419,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Leader,Pursuit Aerospace,"Malden, MA",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-leader-at-pursuit-aerospace-4448548782,Title: Quality Engineering Lead | Seniority: lead | Remote confirmed | Skill: quality engineering | Posted 2d ago ✓,Salary not listed
85,🟢 STRONG FIT,Plant Quality Engineering Lead,Stellantis,"Sterling Heights, MI",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/plant-quality-engineering-lead-at-stellantis-4422433444,Title: Quality Engineering Lead | Seniority: lead | Remote confirmed | Skill: quality engineering | Posted 0d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,Rise Technical,"Spring Grove, IL",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-rise-technical-4448019205,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,Precision Castparts,"Janesville, WI",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-precision-castparts-4440865577,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,Minnesota Manufacturing Recruiting,"Eden Prairie, MN",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-minnesota-manufacturing-recruiting-4449017715,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 2d ago ✓,Salary not listed
85,🟢 STRONG FIT,"Quality Engineering Manager - Oklahoma City, OK",Austin Allen Inc,"Oklahoma City, OK",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-oklahoma-city-ok-at-austin-allen-inc-4448919422,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Manufacturing and Quality Engineering Manager,Brunel,"Sioux Falls, SD",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/manufacturing-and-quality-engineering-manager-at-brunel-4449130800,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Salary not listed
85,🟢 STRONG FIT,Quality Engineering Manager,ZealoTech People,"Escondido, CA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-manager-at-zealotech-people-4449749456,Title: Quality Engineering Manager | Seniority: manager | Remote confirmed | Skill: quality engineering | Posted 0d ago ✓,Salary not listed
85,🟢 STRONG FIT,Software Engineer Senior / Software Development Engineer in Test (Senior SDET),PNC,"Pittsburgh, PA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-senior-software-development-engineer-in-test-senior-sdet-at-pnc-4447238596,Title: Software Development Engineer in Test | Seniority: senior | Remote confirmed | Skill: SDET | Posted 1d ago ✓,Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Eaton,"Greenwood, SC",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-eaton-4438093952,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Jabil,"Memphis, TN",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-jabil-4448247255,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Collins Aerospace,"Burnsville, MN",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-collins-aerospace-4448854141,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,AMETEK,"San Diego, CA",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-ametek-4391745619,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Stryker,"Kalamazoo, MI",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-stryker-4413157490,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 0d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,Fenner Precision Polymers,"Gaffney, SC",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-fenner-precision-polymers-4404119177,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 1d ago ✓,No specific skills mentioned in listing | Salary not listed
80,🟢 STRONG FIT,Senior Quality Engineer,"OneSource Technical, Inc.","Newbury, OH",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/senior-quality-engineer-at-onesource-technical-inc-4440786138,Title: Senior Quality Engineer | Seniority: senior | Remote confirmed | Posted 2d ago ✓,No specific skills mentioned in listing | Salary not listed
